,time,open,high,low,close,tick_volume,spread,real_volume,sma25,sma50,sma75,sma100,sma200
5388,2020-01-09 01:20:00,0.68685,0.68686,0.68671,0.68677,60,16,0,0.6866635999999999,0.6867732000000006,0.6869549333333328,0.6866411000000006,0.6867580499999981
5389,2020-01-09 01:25:00,0.68677,0.6868,0.68671,0.68673,47,16,0,0.6866584,0.6867700000000007,0.6869463999999994,0.6866503000000005,0.6867559999999981
5390,2020-01-09 01:30:00,0.68673,0.68673,0.6862,0.68637,83,17,0,0.68664,0.6867586000000006,0.6869329333333328,0.6866572000000004,0.6867528499999982
5391,2020-01-09 01:35:00,0.68637,0.6869,0.68634,0.6869,85,16,0,0.686644,0.6867570000000006,0.6869265333333329,0.6866724000000004,0.6867523999999982
5392,2020-01-09 01:40:00,0.68691,0.68703,0.68691,0.68703,81,18,0,0.6866523999999999,0.6867580000000006,0.6869171999999995,0.6866906000000005,0.6867509999999981
5393,2020-01-09 01:45:00,0.68703,0.68726,0.68702,0.68723,93,16,0,0.6866711999999999,0.6867624000000007,0.6869143999999995,0.6867117000000005,0.6867490999999981
5394,2020-01-09 01:50:00,0.68723,0.68735,0.68723,0.68723,56,18,0,0.6866943999999999,0.6867696000000006,0.6869138666666661,0.6867350000000004,0.6867488499999982
5395,2020-01-09 01:55:00,0.68722,0.6875,0.68719,0.68744,72,16,0,0.6867259999999998,0.6867806000000007,0.6869127999999995,0.6867575000000004,0.6867500999999983
5396,2020-01-09 02:00:00,0.68744,0.68745,0.68716,0.68725,195,16,0,0.6867651999999999,0.6867872000000007,0.6869095999999996,0.6867780000000004,0.6867492999999983
5397,2020-01-09 02:05:00,0.68725,0.68763,0.68724,0.68747,177,16,0,0.6868059999999998,0.6867952000000007,0.6869090666666661,0.6868017000000005,0.6867501499999983
5398,2020-01-09 02:10:00,0.68747,0.68755,0.6873,0.6873,145,16,0,0.6868391999999999,0.6868038000000007,0.6869062666666661,0.6868240000000004,0.6867495499999983
5399,2020-01-09 02:15:00,0.6873,0.68746,0.68722,0.68728,113,16,0,0.6868715999999999,0.6868116000000007,0.6869054666666661,0.6868426000000005,0.6867469999999982
5400,2020-01-09 02:20:00,0.68728,0.68732,0.68718,0.68721,88,16,0,0.6868979999999999,0.6868162000000008,0.6869035999999994,0.6868632000000006,0.6867433999999981
5401,2020-01-09 02:25:00,0.68721,0.68728,0.68709,0.6872,76,16,0,0.686926,0.6868194000000006,0.6869021333333327,0.6868843000000006,0.6867378499999981
5402,2020-01-09 02:30:00,0.68719,0.68778,0.68717,0.68737,238,16,0,0.6869524,0.6868276000000008,0.6869042666666662,0.6869088000000005,0.686733749999998
5403,2020-01-09 02:35:00,0.68737,0.68759,0.68734,0.68743,108,16,0,0.6869744,0.6868350000000006,0.6869063999999995,0.6869345000000006,0.6867303999999982
5404,2020-01-09 02:40:00,0.68743,0.68752,0.68723,0.68725,103,16,0,0.686986,0.6868410000000006,0.6869046666666662,0.6869583000000006,0.6867262499999981
5405,2020-01-09 02:45:00,0.68725,0.68729,0.6872,0.68723,76,16,0,0.6870023999999999,0.6868476000000006,0.6869025333333328,0.6869760000000005,0.6867218499999982
5406,2020-01-09 02:50:00,0.68723,0.68739,0.6872,0.68739,58,16,0,0.6870268,0.6868584000000005,0.6869011999999995,0.6869956000000005,0.6867199999999981
5407,2020-01-09 02:55:00,0.68741,0.68741,0.68715,0.68725,53,16,0,0.6870548,0.6868676000000005,0.6869005333333328,0.6870060000000006,0.6867168999999982
5408,2020-01-09 03:00:00,0.68725,0.68732,0.68692,0.68696,113,16,0,0.6870759999999998,0.6868728000000004,0.6868971999999994,0.6870063000000005,0.6867137499999981
5409,2020-01-09 03:05:00,0.68696,0.68702,0.6869,0.68695,88,16,0,0.6870939999999999,0.6868822000000004,0.6868962666666663,0.6870081000000005,0.6867104999999981
5410,2020-01-09 03:10:00,0.68695,0.68702,0.68683,0.68698,91,17,0,0.6871115999999998,0.6868912000000005,0.6868951999999995,0.6870050000000005,0.6867075499999982
5411,2020-01-09 03:15:00,0.68702,0.68714,0.6868,0.68682,104,17,0,0.6871155999999998,0.6868936000000003,0.6868919999999994,0.6870045000000005,0.6867048999999982
